# Translations for Path of Exile 1.
# The first line defines the order of languages. Every line after contains a translation.
# Append ".png" to the English name to resolve the image name. Language names resolve to flag icons the same way.
English, French, German, Japanese, Portuguese, Russian, Spanish, Thai, Tag
Tattoo of the Rongokurai Brute, Tatouage de la Brute de Rongokurai, Tätowierung des Rongokurai-Wüstlings, ロンゴクライの蛮人のタトゥー, Tatuagem do Bruto de Rongokurai, Татуировка Громилы Ронгокураи, Tatuaje de bruto de Rongokurai, ลายสัก คนเถื่อนรอนโงคูรัย, tattoo-of-the-rongokurai-brute
Fragment of Eradication, Fragment de l'Éradication, Fragment der Vernichtung, 撲滅の断片, Fragmento do Erradicador, Фрагмент искоренения, Fragmento de erradicación, ชิ้นส่วนขจัด, fragment-of-eradication
Screaming Essence of Rage, Essence Hurlante de Rage, Schreiende Essenz der Rage, 叫びのエッセンス（激怒）, Essência da Raiva Gritante, Кричащая сущность ярости, Esencia berreante de furia, Screaming Essence of Rage, screaming-essence-of-rage
Scarab of Monstrous Lineage, Scarabée de la Lignée monstrueuse, Skarabäus der ungeheuerlichen Abstammung, 怪物の系譜のスカラベ, Escaravelho da Linhagem Monstruosa, Скарабей чудовищных поколений, Escarabajo de linaje monstruoso, สคารับ แห่งเชื้อสายสัตว์ประหลาด, scarab-of-monstrous-lineage
Deafening Essence of Scorn, Essence assourdissante de Mépris, Ohrenbetäubende Essenz des Gespötts, 慟哭のエッセンス（軽蔑）, Essência do Desprezo Ensurdecedora, Оглушающая сущность насмешки, Esencia ensordecedora de desdén, Deafening Essence of Scorn, deafening-essence-of-scorn
Tattoo of the Kitava Warrior, Tatouage du Guerrier de Kitava, Tätowierung des Kitava-Kriegers, キタヴァの戦士のタトゥー, Tatuagem do Guerreiro de Kitava, Татуировка Воина Китавы, Tatuaje de guerrero de Kitava, ลายสัก นักรบคิทาวา, tattoo-of-the-kitava-warrior
Tattoo of the Tukohama Brawler, Tatouage du Bagarreur de Tukohama, Tätowierung des Tukohama-Schlägers, トゥコハマの喧嘩屋のタトゥー, Tatuagem do Brigão de Tukohama, Татуировка Поединщика Тукохамы, Tatuaje de luchador de Tukohama, ลายสัก นักสู้ทูโคฮาม่า, tattoo-of-the-tukohama-brawler
Scroll of Wisdom, Parchemin de sagesse, Identifikationsrolle, 叡智の巻物, Pergaminho da Sabedoria, Свиток мудрости, Pergamino de sabiduría, Scroll of Wisdom, wisdom
Tattoo of the Valako Stormrider, Tatouage du Chevauche-foudre de Valako, Tätowierung des Valako-Sturmreiters, ヴァラコのストームライダーのタトゥー, Tatuagem do Tempestuoso de Valako, Татуировка Наездника бури Валако, Tatuaje de caminante de la tormenta de Valako, ลายสัก ผู้ขี่วายุวาลาโค, tattoo-of-the-valako-stormrider
Harbinger Scarab, Scarabée de Précurseur, Vorboten-Skarabäus, ハービンジャースカラベ, Escaravelho do Emissário, Скарабей Предвестника, Escarabajo de heraldo, สคารับฮาร์บินเจอร์, harbinger-scarab
Breach Scarab of Splintering, Scarabée de Brèche des Esquilles, Riss-Skarabäus des Splitterns, 裂断のブリーチスカラベ, Escaravelho da Fenda da Fragmentação, Скарабей Разлома расщепления, Escarabajo de fisura de astillamiento, สคารับบรีช แห่งการแตกเศษ, breach-scarab-of-splintering
Tainted Mythic Orb, Orbe mythique impur, Korrosive Mythische Sphäre, 汚染された神話のオーブ, Orbe Mítico Corroído, Порочная мифическая сфера, Orbe mítico contaminado, Tainted Mythic Orb, tainted-mythic-orb
Diviner's Delirium Orb, Orbe divinatoire de Délire, Weissagende Sphäre des Deliriums, 占い師のデリリウムオーブ, Orbe Delirante do Profeta, Предсказательная сфера Делириума, Orbe de delirio del adivino, ลูกแก้วเดลิเรียมนักพยากรณ์, diviners-delirium-orb
Aberrant Fossil, Fossile anormal, Abweichendes Fossil, 異常な化石, Fóssil Aberrante, Искажённое ископаемое, Fósil aberrante, Aberrant Fossil, aberrant-fossil
Grand Eldritch Ember, Braise surnaturelle majestueuse, Große übernatürliche Glut, エルドリッチエンバー（特大）, Brasa Ancestral Distinta, Великий древний уголёк, Brasa sobrenatural grandiosa, เถ้าถ่านผิดธรรมชาติชั้นเลิศ, grand-eldritch-ember
Gift to the Goddess, Présent à la déesse, Geschenk an die Göttin, 女神への贈与, Presente à Deusa, Дар богине, Regalo a la Diosa, ของขวัญแด่เทพี, offer-gift
Timeless Eternal Emblem, Emblème intemporel de l'Empire éternel, Immerwährendes Emblem des Ewigen Kaiserreichs, 時知らずのエターナルの徽章, Emblema Atemporal Eterno, Вневременной знак Вечных, Emblema atemporal eterno, ตราสัญลักษณ์นิรันดร์เหนือกาลเวลา, timeless-eternal-emblem
Whispering Essence of Contempt, Essence murmurante de Dédain, Flüsternde Essenz der Verachtung, 囁きのエッセンス（侮蔑）, Essência da Desgraça Sussurrante, Шепчущая сущность презрения, Esencia susurrante de desprecio, Whispering Essence of Contempt, whispering-essence-of-contempt
War Rune, Rune de la Guerre, Kriegsrune, 戦のルーン, Runa Bélica, Руна Войны, Runa de guerra, อักขระสงคราม, war-rune
Wailing Essence of Woe, Essence gémissante d'Affliction, Klagende Essenz des Kummers, 呻きのエッセンス（悲痛）, Essência da Angústia Lamentante, Вопящая сущность скорби, Esencia lamentosa de aflicción, Wailing Essence of Woe, wailing-essence-of-woe
Muttering Essence of Torment, Essence chuchotante de Tourment, Murmelnde Essenz der Folter, 呟きのエッセンス（苦悩）, Essência do Tormento Murmurante, Бормочущая сущность мучения, Esencia murmurante de tormento, Muttering Essence of Torment, muttering-essence-of-torment
Blessed Orb, Orbe béni, Gesegnete Sphäre, 祝福のオーブ, Orbe Abençoado, Благодатная сфера, Orbe bendito, Blessed Orb, blessed
Primitive Chaotic Resonator, Résonateur chaotique primitif, Primitiver chaotischer Resonator, 素朴な混沌のレゾネーター, Ressonador Caótico Primitivo, Простейший хаотический резонатор, Resonador caótico primitivo, ตัวสั่นพ้องโกลาหลดึกดำบรรพ์, primitive-chaotic-resonator
Veiled Scarab, Scarabée crypté, Verhüllter Skarabäus, 秘匿されたスカラベ, Escaravelho Oculto, Скрытый скарабей, Escarabajo encriptado, สคารับผนึก, veiled-scarab
Primal Crystallised Lifeforce, Force vitale primitive cristallisée, Urzeitliche kristallisierte Lebenskraft, 結晶化したプライマルライフフォース, Força Vital Cristalizada Primitiva, Первобытная кристализованная жизненная сила, Fuerza vital primitiva cristalizada, ผลึกพลังแห่งชีวิตเก่าแก่, primal-lifeforce
Otherworldly Incubator, Incubateur fantasmagorique, Jenseitiger Inkubator, 異世界のインキュベーター, Incubador Transcendental, Потусторонний инкубатор, Incubadora de otro mundo, ตัวบ่มฟักนอกโลก, otherworldly-incubator
Tainted Armourer's Scrap, Ferraille d'armurier impure, Korrosives Plattnerstück, 汚染された鎧鍛冶の端材, Sucata Corroída do Armeiro, Порочная деталь доспеха, Restos de armaduras contaminados, Tainted Armourer's Scrap, tainted-armourers-scrap
Weeping Essence of Suffering, Essence larmoyante de Souffrance, Wimmernde Essenz des Leids, 嘆きのエッセンス（苦痛）, Essência do Sofrimento Lamuriante, Плачущая сущность страдания, Esencia llorosa de sufrimiento, Weeping Essence of Suffering, weeping-essence-of-suffering
Tempering Orb, Orbe d'acier trempé, Sphäre der Vergütung, 焼き戻しのオーブ, Orbe da Modificação, Сфера закалки, Orbe de herrería, Tempering Orb, tempering-orb
Foreboding Incubator, Incubateur sinistre, Unheilverkündender Inkubator, 凶兆のインキュベーター, Incubador Agourento, Таинственный инкубатор, Incubadora premonitoria, ตัวบ่มฟักอันเป็นลาง, foreboding-incubator
Tainted Blacksmith's Whetstone, Pierre à aiguiser de forgeron impure, Korrosiver Schleifstein, 汚染された鍛冶屋の砥石, Amolador Corroído do Ferreiro, Порочный точильный камень, Piedra de afilar contaminada, Tainted Blacksmith's Whetstone, tainted-blacksmiths-whetstone
Enchanted Incubator, Incubateur enchanté, Verzauberter Inkubator, 魅せられたインキュベーター, Incubador Encantado, Зачарованный инкубатор, Incubadora encantada, ตัวบ่มฟักลงเสน่ห์, enchanted-incubator
Blight Scarab, Scarabée de l'Infestation, Befall-Skarabäus, ブライトスカラベ, Escaravelho da Infestação, Скарабей Скверны, Escarabajo de plaga, สคารับไบล์ท, blight-scarab
Tainted Catalyst, Catalyseur souillé, Korrosiver Katalysator, 汚染されたカタリスト, Catalisador Maculado, Порочный катализатор, Catalizador contaminado, Tainted Catalyst, tainted-catalyst
Tattoo of the Ramako Shaman, Tatouage du Chaman de Ramako, Tätowierung des Ramako-Schamanen, ラマコのシャーマンのタトゥー, Tatuagem do Xamã de Ramako, Татуировка Шамана Рамако, Tatuaje de chamán de Ramako, ลายสัก คนทรงรามาโค, tattoo-of-the-ramako-shaman
Tattoo of the Ngamahu Warmonger, Tatouage du Belliciste de Ngamahu, Tätowierung des Ngamahu-Kriegstreibers, ナマフのウォーモンガーのタトゥー, Tatuagem do Guerrilheiro de Ngamahu, Татуировка Зачинщика войны Нгамаху, Tatuaje de belicista de Ngamahu, ลายสัก ผู้ก่อศึกนามาฮู, tattoo-of-the-ngamahu-warmonger
Shrieking Essence of Greed, Essence stridente d'Avarice, Kreischende Essenz der Gier, 喚きのエッセンス（貪欲）, Essência da Ganância Berrante, Визжащая сущность жадности, Esencia chillante de avaricia, Shrieking Essence of Greed, shrieking-essence-of-greed
Beyond Scarab, Scarabée d'Ailleurs, Jenseits-Skarabäus, ビヨンドスカラベ, Escaravelho do Além, Скарабей Иномирья, Escarabajo del más allá, สคารับต่างมิติ, beyond-scarab
Timeless Templar Splinter, Esquille intemporelle des Templiers, Immerwährender Splitter der Templer, テンプラーの時知らずの破片, Lasca Atemporal Templária, Вневременной осколок храмовников, Fragmento atemporal templario, ชิ้นส่วนเทมพลาร์เหนือกาลเวลา, timeless-templar-splinter
Key to the Crucible, Clé du Creuset, Schlüssel zum Schmelztiegel, 試練への鍵, Chave para o Crisol, Ключ к Тиглю, Llave hacia el crisol, กุญแจสู่เบ้าหลอม, shaper-set
Maven's Chisel of Avarice, Burin de la Prodige de l'Avarice, Seherinmeißel der Habgier, メイヴェンの強欲のたがね, Cinzel da Maven da Avareza, Резец Мейвен алчности, Cincel de la Especialista de avaricia, สิ่วเมเวน แห่งความละโมบ, mavens-chisel-of-avarice
Horned Scarab of Nemeses, Scarabée cornu des Némésis, Gehörnter Skarabäus der Erzfeinde, 宿敵の有角のスカラベ, Escaravelho Chifrudo do Nêmesis, Рогатый скарабей Немезиды, Escarabajo cornudo de némesis, สคารับมีเขา แห่งเนเมซิส, horned-scarab-of-nemeses
Divine Orb, Orbe divin, Göttliche Sphäre, 神のオーブ, Orbe Divino, Божественная сфера, Orbe divino, Divine Orb, divine
Mortal Hope, Espoir mortifère, Tödliche Hoffnung, 定命の者の望み, Esperança Mortal, Смертная надежда, Esperanza mortal, หวังเยี่ยงมนุษย์, hope
Deafening Essence of Zeal, Essence assourdissante de Zèle, Ohrenbetäubende Essenz des Eifers, 慟哭のエッセンス（熱狂）, Essência do Zelo Ensurdecedora, Оглушающая сущность усердия, Esencia ensordecedora de fervor, Deafening Essence of Zeal, deafening-essence-of-zeal
Anarchy Scarab of Partnership, Scarabée d'Anarchie du Partenariat, Anarchie-Skarabäus der Partnerschaft, 協力関係のアナーキースカラベ, Escaravelho da Anarquia da Parceria, Скарабей Анархии партнёрства, Escarabajo de anarquía de compañerismo, สคารับเอ็กไซล์อันธพาล แห่งคู่หู, anarchy-scarab-of-partnership
Scarab of Divinity, Scarabée de la Divinité, Skarabäus der Göttlichkeit, 神性のスカラベ, Escaravelho da Divindade, Скарабей божественности, Escarabajo de adivinación, สคารับ แห่งพลังเทวา, scarab-of-divinity
Influencing Scarab of the Elder, Scarabée d'Influence de l'Ancien, Beeinflussender Skarabäus des Ältesten, エルダーのインフルエンススカラベ, Escaravelho da Influência do Ancião, Влиятельный скарабей Древнего, Escarabajo de influencia del antiguo, สคารับอิทธิพล แห่งเอลเดอร์, influencing-scarab-of-the-elder
Blight Scarab of Bounty, Scarabée de l'Infestation de la Générosité, Befall-Skarabäus des Kopfgelds, 報奨のブライトスカラベ, Escaravelho da Infestação da Abundância, Скарабей Скверны щедрости, Escarabajo de plaga de recompensa, สคารับไบล์ท แห่งความเอื้อเฟื้อ, blight-scarab-of-bounty
Tattoo of the Arohongui Warrior, Tatouage du Guerrier d'Arohongui, Tätowierung des Arohongui-Kriegers, アロホングイの戦士のタトゥー, Tatuagem do Guerreiro de Aronhongui, Татуировка Воина Арохонгуи, Tatuaje de guerrero de Arohongui, ลายสัก นักรบอะโรฮอนงุย, tattoo-of-the-arohongui-warrior
Legion Scarab, Scarabée de Légion, Legion-Skarabäus, リージョンスカラベ, Escaravelho da Legião, Скарабей Легиона, Escarabajo de legión, สคารับกองพัน, legion-scarab
Crest of the Elderslayers, Insigne des Tueurs de l'Ancien, Wappen der Vernichter des Ältesten, エルダースレイヤーの紋章, Coroa dos Matadores do Ancião, Герб Убийц Древнего, Emblema de los Asesinos del Antiguo, ตราของกลุ่มผู้สังหารเอลเดอร์, crest-of-the-elderslayers
Divination Scarab of Pilfering, Scarabée de Divination du Chapardage, Weissagungs-Skarabäus der Plünderung, 窃盗の占いのスカラベ, Escaravelho da Adivinhação do Furto, Скарабей предсказания расхищения, Escarabajo de adivinación de hurto, สคารับไพ่พยากรณ์ แห่งการฉกฉวย, divination-scarab-of-pilfering
Fragmented Delirium Orb, Orbe fragmenté de Délire, Fragmentierte Sphäre des Deliriums, 断片化したデリリウムオーブ, Orbe Delirante Fragmentado, Раздробленная сфера Делириума, Orbe de delirio fragmentado, ลูกแก้วเดลิเรียมแยกส่วน, fragmented-delirium-orb
Key to Decay, Clé de la Décadence, Schlüssel zum Verfall, 崩壊への鍵, Chave para a Decadência, Ключ к Порче, Llave hacia el decaimiento, กุญแจสู่การเสื่อมสลาย, key-to-decay
Screaming Essence of Scorn, Essence hurlante de Mépris, Schreiende Essenz des Gespötts, 叫びのエッセンス（軽蔑）, Essência do Desprezo Gritante, Кричащая сущность насмешки, Esencia berreante de desdén, Screaming Essence of Scorn, screaming-essence-of-scorn
Portal Scroll, Parchemin de portail, Portalrolle, ポータルの巻物, Pergaminho de Portal, Свиток портала, Pergamino de portal, Portal Scroll, portal
Devouring Fragment, Fragment dévorant, Verschlingendes Fragment, 貪りの断片, Fragmento Devorador, Пожирающий фрагмент, Fragmento devorador, ชิ้นส่วนสวาปาม, devouring-fragment
Harvest Scarab, Scarabée du Bosquet, Hain-Skarabäus, ハーベストスカラベ, Escaravelho da Colheita, Скарабей Жатвы, Escarabajo de cosecha, สคารับฮาร์เวสต์, harvest-scarab
Cooperation, Coopération, Kooperation, 協調, Cooperação, Сотрудничество, Cooperación, Cooperation, cooperation
Screaming Essence of Zeal, Essence hurlante de Zèle, Schreiende Essenz des Eifers, 叫びのエッセンス（熱狂）, Essência do Zelo Gritante, Кричащая сущность усердия, Esencia berreante de fervor, Screaming Essence of Zeal, screaming-essence-of-zeal
Breach Scarab of Resonant Cascade, Scarabée de Brèche de la Cascade résonante, Riss-Skarabäus der Resonanzkaskade, 共鳴するカスケードのブリーチスカラベ, Escaravelho da Fenda da Cascata Ressonadora, Скарабей Разлома резонирующего каскада, Escarabajo de fisura de cascada resonante, สคารับบรีช แห่งพลังแหวกมิติ, breach-scarab-of-resonant-cascade
Unrelenting Timeless Maraketh Emblem, Emblème perpétuel des Marakeths, Unerbittliches immerwährendes Emblem der Maraketh, とどまることのない時知らずのマラケスの徽章, Emblema Atemporal Maraketh Implacável, Непримиримый вневременной знак маракетов, Emblema atemporal implacable maraketh, ตราสัญลักษณ์มาราเค็ทเหนือกาลเวลาไม่รู้สิ้น, uber-timeless-maraketh-emblem
Aetheric Fossil, Fossile éthéré, Ätherisches Fossil, エーテルの化石, Fóssil Etéreo, Эфирное ископаемое, Fósil etéreo, Aetheric Fossil, aetheric-fossil
Tattoo of the Tasalio Warrior, Tatouage du Guerrier de Tasalio, Tätowierung des Tasalio-Kriegers, タサリオの戦士のタトゥー, Tatuagem do Guerreiro de Tasalio, Татуировка Воина Тасалио, Tatuaje de guerrero de Tasalio, ลายสัก นักรบทาเซลีโอ, tattoo-of-the-tasalio-warrior
Drox's Crest, Insigne de Drox, Wappen von Drox, ドロクスの紋章, Coroa de Drox, Герб Дрокса, Emblema de Drox, ตราของดร็อกซ์, droxs-crest
Tattoo of the Hinekora Warmonger, Tatouage du Belliciste d'Hinekora, Tätowierung des Hinekora-Kriegstreibers, ヒネコラのウォーモンガーのタトゥー, Tatuagem do Guerrilheiro de Hinekora, Татуировка Зачинщика войны Хинекоры, Tatuaje de belicista de Hinekora, ลายสัก ผู้ก่อศึกฮิเนโครา, tattoo-of-the-hinekora-warmonger
Tattoo of the Tawhoa Herbalist, Tatouage de l'Herboriste de Tawhoa, Tätowierung des Tawhoa-Kräutersammlers, タウホアの薬草師のタトゥー, Tatuagem do Herbalista de Tawhoa, Татуировка Травника Тахоа, Tatuaje de herbolario de Tawhoa, ลายสัก นักสมุนไพรทาฟัว, tattoo-of-the-tawhoa-herbalist
Binding Shard, Éclat de liaison, Bindungsscherbe, 連結の欠片, Lasca da Ligação, Осколок сплетения, Esquirla de vinculación, ชิ้นส่วน Binding, binding-shard
Blessing of Uul-Netol, Bénédiction d'Uul-Netol, Uul-Netols Segnung, ウール・ネトルの祝福, Bênção de Uul-Netol, Благословение Уул-Нетол, Bendición de Uul-Netol, พรแห่งอูล-เนโทล, blessing-uul-netol
Azure Oil, Huile azurée, Azurblaues Öl, 淡青色のオイル, Óleo Azul-Celeste, Лазурное масло, Aceite azur, Azure Oil, azure-oil
Redeemer's Exalted Orb, Orbe exalté de la Rédemptrice, Erhabene Sphäre der Erlöserin, リディーマーの高貴なオーブ, Orbe Exaltado do Juiz, Сфера возвышения избавителя, Orbe exaltado de la Redentora, Redeemer's Exalted Orb, redeemers-exalted-orb
Weeping Essence of Doubt, Essence larmoyante d'Incertitude, Wimmernde Essenz des Zweifels, 嘆きのエッセンス（疑心）, Essência da Hesitação Lamuriante, Плачущая сущность сомнения, Esencia llorosa de duda, Weeping Essence of Doubt, weeping-essence-of-doubt
Screaming Essence of Sorrow, Essence hurlante de Chagrin, Schreiende Essenz der Trauer, 叫びのエッセンス（悲哀）, Essência da Mágoa Gritante, Кричащая сущность печали, Esencia berreante de pena, Screaming Essence of Sorrow, screaming-essence-of-sorrow
Tattoo of the Ramako Fleetfoot, Tatouage du Coureur de Ramako, Tätowierung des Ramako-Flinkfußes, ラマコの俊足のタトゥー, Tatuagem do Soldado de Ramako, Татуировка Гонца Рамако, Tatuaje de mensajero de Ramako, ลายสัก นักวิ่งรามาโค, tattoo-of-the-ramako-fleetfoot
Shrieking Essence of Contempt, Essence stridente de Dédain, Kreischende Essenz der Verachtung, 喚きのエッセンス（侮蔑）, Essência da Desgraça Berrante, Визжащая сущность презрения, Esencia chillante de desprecio, Shrieking Essence of Contempt, shrieking-essence-of-contempt
Timeless Delirium Orb, Orbe intemporel de Délire, Immerwährende Sphäre des Deliriums, 時知らずのデリリウムオーブ, Orbe Delirante Atemporal, Вневременная сфера Делириума, Orbe de delirio atemporal, ลูกแก้วเดลิเรียมเหนือกาลเวลา, timeless-delirium-orb
Splinter of Uul-Netol, Esquille d'Uul-Netol, Uul-Netols Splitter, ウール・ネトルの破片, Lasca de Uul-Netol, Осколок Уул-Нетол, Astilla de Uul-Netol, ชิ้นส่วนอูล-เนโทล, splinter-uul
Screaming Essence of Dread, Essence hurlante d'Effroi, Schreiende Essenz der Furcht, 叫びのエッセンス（恐怖）, Essência do Pavor Gritante, Кричащая сущность жути, Esencia berreante de terror, Screaming Essence of Dread, screaming-essence-of-dread
Chayula's Flawless Breachstone, Pierre de Brèche parfaite de Chayula, Chayulas makelloser Riss-Stein, チャユラの極限ブリーチストーン, Pedra de Fenda Impecável de Chayula, Безупречный камень Разлома Чаюлы, Piedra de fisura perfecta de Chayula, ศิลาบรีชไร้ที่ติแห่งชายูล่า, chayulas-flawless-breachstone
Beyond Scarab of Corruption, Scarabée d'Ailleurs de la Corruption, Jenseits-Skarabäus der Verderbnis, 穢れのビヨンドスカラベ, Escaravelho do Além da Corrupção, Скарабей Иномирья осквернения, Escarabajo del más allá de corrupción, สคารับต่างมิติ แห่งพลังมลทิน, beyond-scarab-of-corruption
Archive Reliquary Key, Clé des Archives du Reliquaire, Schlüssel zur Archiv-Reliquienkammer, 記録の聖廟の鍵, Chave do Relicário Arquivado, Ключ от Архивного Реликвария, Llave del Relicario de archivos, กุญแจคลังวัตถุโบราณหอบันทึก, archive-reliquary-key
Glassblower's Bauble, Bulle de souffleur de verre, Kugel des Glasbläsers, ガラス吹きの飾り玉, Bolha do Vidreiro, Стекольная масса, Baratija de vidrio, Glassblower's Bauble, bauble
Legion Scarab of The Sekhema, Scarabée de Légion de la Sekhema, Legion-Skarabäus der Sekhema, セケマのリージョンスカラベ, Escaravelho da Legião da Sekhema, Скарабей Легиона Сехемы, Escarabajo de legión de la Sekhema, สคารับกองพัน แห่งเซ็คเคมา, legion-scarab-of-the-sekhema
Journey Tattoo of the Body, Tatouage initiatique du Corps, Reisetätowierung des Körpers, 肉体の旅のタトゥー, Tatuagem da Jornada do Corpo, Татуировка странствия тела, Tatuaje de viaje del cuerpo, ลายสักสัญจร ร่างกาย, journey-tattoo-of-the-body
Armourer's Scrap, Ferraille d'armurier, Plattnerstück, 鎧鍛冶の端材, Sucata do Armeiro, Деталь доспеха, Restos de armaduras, Armourer's Scrap, scrap
Dedication to the Goddess, Dévouement à la déesse, Hingabe an die Göttin, 女神への献身, Dedicação à Deusa, Посвящение богине, Consagración a la Diosa, เครื่องอุทิศแด่เทพี, offer-dedication
Time Rune, Rune du Temps, Zeitrune, 時のルーン, Runa Temporal, Руна Времени, Runa de tiempo, อักขระกาลเวลา, time-rune
Shrieking Essence of Sorrow, Essence stridente de Chagrin, Kreischende Essenz der Trauer, 喚きのエッセンス（悲哀）, Essência da Mágoa Berrante, Визжащая сущность печали, Esencia chillante de pena, Shrieking Essence of Sorrow, shrieking-essence-of-sorrow
Greater Eldritch Ember, Braise surnaturelle majeure, Größere übernatürliche Glut, エルドリッチエンバー（大）, Brasa Ancestral Maior, Крупный древний уголёк, Brasa sobrenatural mayor, เถ้าถ่านผิดธรรมชาติชั้นสูง, greater-eldritch-ember
Tattoo of the Arohongui Warmonger, Tatouage du Belliciste d'Arohongui, Tätowierung des Arohongui-Kriegstreibers, アロホングイのウォーモンガーのタトゥー, Tatuagem do Guerrilheiro de Aronhongui, Татуировка Зачинщика войны Арохонгуи, Tatuaje de belicista de Arohongui, ลายสัก ผู้ก่อศึกอะโรฮอนงุย, tattoo-of-the-arohongui-warmonger
Sacred Orb, Orbe sacré, Heilige Sphäre, 聖なるオーブ, Orbe Sagrado, Священная сфера, Orbe sagrado, Sacred Orb, sacred-orb
Vivid Crystallised Lifeforce, Force vitale vivace cristallisée, Lebhafte kristallisierte Lebenskraft, 結晶化したビビッドライフフォース, Força Vital Cristalizada Vívida, Буйная кристализованная жизненная сила, Fuerza vital vívida cristalizada, ผลึกพลังแห่งชีวิตสดใส, vivid-lifeforce
Whispering Delirium Orb, Orbe chuchotant de Délire, Flüsternde Sphäre des Deliriums, 囁きのデリリウムオーブ, Orbe Delirante Sussurrante, Шепчущая сфера Делириума, Orbe de delirio susurrante, ลูกแก้วเดลิเรียมพร่ำกระซิบ, whispering-delirium-orb
Prismatic Oil, Huile prismatique, Prismatisches Öl, 多彩なオイル, Óleo Prismático, Радужное масло, Aceite prismático, Prismatic Oil, prismatic-oil
Ancient Shard, Éclat antique, Uralte Scherbe, 古代の欠片, Lasca Ancestral, Древний осколок, Esquirla antigua, ชิ้นส่วน Ancient, ancient-shard
Screaming Invitation, Invitation hurlante, Schreiende Einladung, 泣き叫ぶ招待状, Convite Gritante, Кричащее приглашение, Invitación vociferante, คำเชิญแผดเสียง, screaming-invitation
Fragment of Terror, Fragment de la Terreur, Fragment des Schreckens, 恐怖の断片, Fragmento do Terror, Фрагмент ужаса, Fragmento de terror, ชิ้นส่วนสยองขวัญ, fragment-of-terror
Abyss Scarab of Edifice, Scarabée de l'Abysse de l'Édifice, Abgrund-Skarabäus des Bauwerks, 殿堂のアビススカラベ, Escaravelho do Abismo do Edifício, Скарабей Бездны строений, Escarabajo de abismo de edificio, สคารับอะบิส แห่งสิ่งปลูกสร้าง, abyss-scarab-of-edifice
Tattoo of the Rongokurai Goliath, Tatouage du Goliath de Rongokurai, Tätowierung des Rongokurai-Goliath, ロンゴクライのゴライアスのタトゥー, Tatuagem do Gigante de Rongokurai, Татуировка Голиафа Ронгокураи, Tatuaje de goliat de Rongokurai, ลายสัก มนุษย์ยักษ์รอนโงคูรัย, tattoo-of-the-rongokurai-goliath
Glyphic Fossil, Fossile glyphique, Glyphisches Fossil, 浮き彫りの化石, Fóssil Glífico, Резное ископаемое, Fósil glífico, Glyphic Fossil, glyphic-fossil
Cartography Scarab of the Multitude, Scarabée de Cartographie de la Multitude, Kartographie-Skarabäus der Vielfalt, 群衆の地図製作のスカラベ, Escaravelho da Cartografia da Multidão, Скарабей картографии множеств, Escarabajo de cartografía de la multitud, สคารับแผนที่ แห่งความมากมาย, cartography-scarab-of-the-multitude
Wailing Essence of Sorrow, Essence gémissante de Chagrin, Klagende Essenz der Trauer, 呻きのエッセンス（悲哀）, Essência da Mágoa Lamentante, Вопящая сущность печали, Esencia lamentosa de pena, Wailing Essence of Sorrow, wailing-essence-of-sorrow
Unrelenting Timeless Karui Emblem, Emblème perpétuel des Karuis, Unerbittliches immerwährendes Emblem der Karui, とどまることのない時知らずのカルイの徽章, Emblema Atemporal Karui Implacável, Непримиримый вневременной знак каруи, Emblema atemporal implacable karui, ตราสัญลักษณ์คารุยเหนือกาลเวลาไม่รู้สิ้น, uber-timeless-karui-emblem
Muttering Essence of Anger, Essence chuchotante de Colère, Murmelnde Essenz der Wut, 呟きのエッセンス（怒り）, Essência da Cólera Murmurante, Бормочущая сущность злобы, Esencia murmurante de rabia, Muttering Essence of Anger, muttering-essence-of-anger
Ultimatum Scarab of Inscription, Scarabée d'Ultimatum de la Gravure, Ultimatum-Skarabäus der Inschrift, 刻印のアルティメイタムスカラベ, Escaravelho do Ultimato da Inscrição, Скарабей Ультиматума начертания, Escarabajo de ultimátum de inscripción, สคารับคำขาด แห่งการจารึก, ultimatum-scarab-of-inscription
Splinter of Tul, Esquille de Tul, Tuls Splitter, トゥルの破片, Lasca de Tul, Осколок Тул, Astilla de Tul, ชิ้นส่วนทุล, splinter-tul
Fragment of Constriction, Fragment de la Constriction, Fragment der Unterdrückung, 抑圧の断片, Fragmento do Constritor, Фрагмент угнетения, Fragmento de constricción, ชิ้นส่วนบีบรัด, fragment-of-constriction
Simulacrum Splinter, Esquille de Simulacre, Simulacrum-Splitter, シミュラクラムの破片, Lasca de Simulacro, Осколок Симулякра, Fragmento de Simulacro, ชิ้นส่วนเมืองจำแลง, simulacrum-splinter
Corroded Fossil, Fossile corrodé, Korrodiertes Fossil, 腐食した化石, Fóssil Corroído, Пористое ископаемое, Fósil corroído, Corroded Fossil, corroded-fossil
Blessing of Chayula, Bénédiction de Chayula, Chayulas Segnung, チャユラの祝福, Bênção de Chayula, Благословение Чаюлы, Bendición de Chayula, พรแห่งชายูล่า, blessing-chayula
Tattoo of the Tasalio Bladedancer, Tatouage du Danse-lame de Tasalio, Tätowierung des Tasalio-Klingentänzers, タサリオのブレードダンサーのタトゥー, Tatuagem do Dançarino das Lâminas de Tasalio, Татуировка Танцующего с клинками Тасалио, Tatuaje de bailarín de filos de Tasalio, ลายสัก นักระบำดาบทาเซลีโอ, tattoo-of-the-tasalio-bladedancer
