// Currency Translations
// Order: English, French, German, Japanese, Portuguese, Russian, Spanish, Thai

Delirium Orb, Orbe de Délire, Sphäre des Deliriums, デリリウムオーブ, Orbe Delirante, Сфера Делириума, Orbe de delirio, ลูกแก้วเดลิเรียม
Delirium Scarab of Delusions, Scarabée du Délire de l’Hallucination, Delirium-Skarabäus der Wahnvorstellungen, 妄想のデリリウムスカラベ, Escaravelho do Delírio das Alucinações, Скарабей Делириума галлюцинаций, Escarabajo de delirio de delusiones, สคารับเดลิเรียม แห่งจิตหลงผิด
Delirium Scarab of Mania, Scarabée du Délire de la Folie, Delirium-Skarabäus des Wahns, 躁病のデリリウムスカラベ, Escaravelho do Delírio da Mania, Скарабей Делириума мании, Escarabajo de delirio de manía, สคารับเดลิเรียม แห่งภาวะคลุ้มคลั่ง
Delirium Scarab of Neuroses, Scarabée du Délire de la Névrose, Delirium-Skarabäus der Neurose, 神経症のデリリウムスカラベ, Escaravelho do Delírio da Neurose, Скарабей Делириума неврозов, Escarabajo de delirio de neurosis, สคารับเดลิเรียม แห่งโรคประสาท
Delirium Scarab of Paranoia, Scarabée du Délire de la Paranoïa, Delirium-Skarabäus der Paranoia, 偏執症のデリリウムスカラベ, Escaravelho do Delírio da Paranóia, Скарабей Делириума паранойи, Escarabajo de delirio de paranoia, สคารับเดลิเรียม แห่งความหวาดระแวง
Delirium Scarab, Scarabée du Délire, Delirium-Skarabäus, デリリウムスカラベ, Escaravelho do Delírio, Скарабей Делириума, Escarabajo de delirio, สคารับเดลิเรียม
Dense Fossil, Fossile dense, Dichtes Fossil, 不透明な化石, Fóssil Denso, Плотное ископаемое, Fósil denso, Dense Fossil
Devouring Fragment, Fragment dévorant, Verschlingendes Fragment, 貪りの断片, Fragmento Devorador, Пожирающий фрагмент, Fragmento devorador, ชิ้นส่วนสวาปาม
Divination Scarab of Pilfering, Scarabée de Divination du Chapardage, Weissagungs-Skarabäus der Plünderung, 窃盗の占いのスカラベ, Escaravelho da Adivinhação do Furto, Скарабей предсказания расхищения, Escarabajo de adivinación de hurto, สคารับไพ่พยากรณ์ แห่งการฉกฉวย
Divination Scarab of Plenty, Scarabée de Divination de l'Abondance, Weissagungs-Skarabäus des Überflusses, 豊富な占いのスカラベ, Escaravelho da Adivinhação da Abundância, Скарабей предсказания изобилия, Escarabajo de adivinación de abundancia, สคารับไพ่พยากรณ์ แห่งความเหลือเฟือ
Divination Scarab of The Cloister, Scarabée de Divination du Cloître, Weissagungs-Skarabäus des Klosters, 学院の占いのスカラベ, Escaravelho da Adivinhação do Cláustro, Скарабей предсказания тлетворности, Escarabajo de adivinación del claustro, สคารับไพ่พยากรณ์ แห่งอาศรม
Divine Orb, Orbe divin, Göttliche Sphäre, 神のオーブ, Orbe Divino, Божественная сфера, Orbe divino, Divine Orb
Divine Vessel, Réceptacle divin, Göttliches Gefäß, 神の器, Recipiente Divino, Божественный сосуд, Recipiente divino, คนโทศักดิ์สิทธิ์
Diviner's Delirium Orb, Orbe divinatoire de Délire, Weissagende Sphäre des Deliriums, 占い師のデリリウムオーブ, Orbe Delirante do Profeta, Предсказательная сфера Делириума, Orbe de delirio del adivino, ลูกแก้วเดลิเรียมนักพยากรณ์
Diviner's Incubator, Incubateur divinatoire, Inkubator des Weissagers, 占い師のインキュベーター, Incubador do Divino, Инкубатор предсказателя, Incubadora del adivino, ตัวบ่มฟักนักพยากรณ์
Domination Scarab of Apparitions, Scarabée de Domination des Apparitions, Schrein-Skarabäus der Geistererscheinungen, 幻影のドミネーションスカラベ, Escaravelho do Domínio das Aparições, Скарабей Господства призраков, Escarabajo de dominación de apariciones, สคารับแท่นบูชา แห่งผีสาง
Domination Scarab of Evolution, Scarabée de Domination de l'Évolution, Schrein-Skarabäus der Evolution, 進化のドミネーションスカラベ, Escaravelho do Domínio da Evolução, Скарабей Господства эволюции, Escarabajo de dominación de evolución, สคารับแท่นบูชา แห่งวิวัฒนาการ
Domination Scarab of Terrors, Scarabée de Domination des Terreurs, Schrein-Skarabäus der Schrecken, 恐怖のドミネーションスカラベ, Escaravelho do Domínio dos Terrores, Скарабей Господства ужасов, Escarabajo de dominación de terrores, สคารับแท่นบูชา แห่งภัยสยอง
Domination Scarab, Scarabée de Domination, Schrein-Skarabäus, ドミネーションスカラベ, Escaravelho do Domínio, Скарабей Господства, Escarabajo de dominación, สคารับแท่นบูชา
Drox's Crest, Insigne de Drox, Wappen von Drox, ドロクスの紋章, Coroa de Drox, Герб Дрокса, Emblema de Drox, ตราของดร็อกซ์
Eldritch Chaos Orb, Orbe du chaos surnaturel, Übernatürliche Chaossphäre, エルドリッチの混沌のオーブ, Orbe Ancestral do Caos, Мистическая сфера хаоса, Orbe de caos sobrenatural, Eldritch Chaos Orb
Eldritch Exalted Orb, Orbe exalté surnaturel, Übernatürliche Erhabene Sphäre, エルドリッチの高貴なオーブ, Orbe Ancestral Exaltado, Мистическая сфера возвышения, Orbe exaltado sobrenatural, Eldritch Exalted Orb
Eldritch Orb of Annulment, Orbe d'annulation surnaturel, Übernatürliche Sphäre der Annullierung, エルドリッチの消去のオーブ, Orbe Ancestral da Anulação, Мистическая сфера отмены, Orbe de anulación sobrenatural, Eldritch Orb of Annulment
Enchanted Incubator, Incubateur enchanté, Verzauberter Inkubator, 魅せられたインキュベーター, Incubador Encantado, Зачарованный инкубатор, Incubadora encantada, ตัวบ่มฟักลงเสน่ห์
Engineer's Orb, Orbe d'ingénieur, Sphäre des Ingenieurs, 技師のオーブ, Orbe do Engenheiro, Сфера инженера, Orbe del ingeniero, Engineer's Orb
Engineer's Shard, Éclat d'ingénieur, Scherbe des Ingenieurs, 技師の欠片, Lasca do Engenheiro, Инженерный осколок, Esquirla del ingeniero, ชิ้นส่วน Engineer
Enkindling Orb, Orbe chauffant, Sphäre der Potenzierung, 濃縮のオーブ, Orbe Incandescente, Растопляющая сфера, Orbe de estimulación, Enkindling Orb
Esh's Breachstone, Pierre de Brèche d'Esh, Eshs Riss-Stein, エッシュのブリーチストーン, Pedra da Fenda de Esh, Камень Разлома Иш, Piedra de fisura de Esh, ศิลาบรีชแห่งเอ็ช
Esh's Flawless Breachstone, Pierre de Brèche parfaite d'Esh, Eshs makelloser Riss-Stein, エシュの極限ブリーチストーン, Pedra de Fenda Impecável de Esh, Безупречный камень Разлома Иш, Piedra de fisura perfecta de Esh, ศิลาบรีชไร้ที่ติแห่งเอ็ช
Essence Scarab of Adaptation, Scarabée d'Essence de l'Adaptation, Essenz-Skarabäus der Anpassung, 適応のエッセンススカラベ, Escaravelho da Essência da Adaptação, Скарабей Сузности адаптации, Escarabajo de esencia de adaptación, สคารับเอสเซนส์ แห่งการปรับตัว
Essence Scarab of Ascent, Scarabée d'Essence de l'Ascension, Essenz-Skarabäus des Aufstiegs, 向上のエッセンススカラベ, Escaravelho da Essência da Ascensão, Скарабей Сущности восхождения, Escarabajo de esencia de ascenso, สคารับเอสเซนส์ แห่งการขึ้นสูง
Essence Scarab of Calcification, Scarabée d'Essence de la Calcification, Essenz-Skarabäus der Verkalkung, 硬化のエッセンススカラベ, Escaravelho da Essência da Calcificação, Скарабей Сущности окостенения, Escarabajo de esencia de calcificación, สคารับเอสเซนส์ แห่งการเกิดผลึก
Essence Scarab of Stability, Scarabée d'Essence de la Stabilité, Essenz-Skarabäus der Stabilität, 安定のエッセンススカラベ, Escaravelho da Essência da Estabilidade, Скарабей Сущности стабильности, Escarabajo de esencia de estabilidad, สคารับเอสเซนส์ แห่งเสถียรภาพ
Essence Scarab, Scarabée d'Essence, Essenz-Skarabäus, エッセンススカラベ, Escaravelho da Essência, Скарабей Сущности, Escarabajo de esencia, สคารับเอสเซนส์
Essence of Delirium, Essence de Délire, Essenz des Deliriums, 錯乱のエッセンス, Essência do Delírio, Сущность бреда, Esencia de delirio, Essence of Delirium
Essence of Horror, Essence d'Horreur, Essenz des Horrors, 戦慄のエッセンス, Essência do Horror, Сущность ужаса, Esencia de horror, Essence of Horror
Essence of Hysteria, Essence d'Hystérie, Essenz der Hysterie, ヒステリーのエッセンス, Essência da Histeria, Сущность истерии, Esencia de histeria, Essence of Hysteria
Essence of Insanity, Essence de Démence, Essenz des Irrsinns, 狂気のエッセンス, Essência da Insanidade, Сущность безумия, Esencia de demencia, Essence of Insanity
Eternal Orb, Orbe éternel, Sphäre der Ewigkeit, 永遠のオーブ, Orbe Eterno, Сфера вечного, Orbe eterno, Eternal Orb
Exalted Orb, Orbe exalté, Erhabene Sphäre, 高貴なオーブ, Orbe Exaltado, Сфера возвышения, Orbe exaltado, Exalted Orb
Exalted Shard, Éclat exalté, Erhabene Scherbe, 高貴な欠片, Lasca Exaltada, Осколок возвышения, Esquirla exaltada, ชิ้นส่วน Exalted
Exceptional Eldritch Ember, Braise surnaturelle exceptionnelle, Bedeutende übernatürliche Glut, エルドリッチエンバー（希少）, Brasa Ancestral Excepcional, Превосходный древний уголёк, Brasa sobrenatural excepcional, เถ้าถ่านผิดธรรมชาติชั้นยอด
Exceptional Eldritch Ichor, Ichor surnaturel exceptionnel, Bedeutender übernatürlicher Ichor, エルドリッチイコル（希少）, Fluido Ancestral Excepcional, Превосходный зловещий ихор, Icor sobrenatural excepcional, น้ำหนองผิดธรรมชาติชั้นยอด
Exotic Coinage, Monnaie exotique, Ausländische Münzen, 異国のコイン, Moeda Exótica, Диковинные монеты, Acuñación exótica, เหรียญต่างแดน
Expedition Scarab of Archaeology, Scarabée d'Expédition de l'Archéologie, Expedition-Skarabäus der Archäologie, 考古学のエクスペディションスカラベ, Escaravelho da Expedição da Arqueologia, Скарабей Экспедиции археологии, Escarabajo de expedición de arqueología, สคารับกองสำรวจ แห่งโบราณคดี
Expedition Scarab of Runefinding, Scarabée d'Expédition du Cherche-rune, Expedition-Skarabäus des Runenfindens, ルーン素材のエクスペディションスカラベ, Escaravelho da Expedição da Runificação, Скарабей Экспедиции поиска рун, Escarabajo de expedición de buscarunas, สคารับกองสำรวจ แห่งการค้นหาอักขระ
Expedition Scarab of Verisium Powder, Scarabée d'Expédition de la Poudre de vérisium, Expedition-Skarabäus des Verisium-Pulvers, ヴァリシウム粉末のエクスペディションスカラベ, Escaravelho da Expedição do Pó de Verisium, Скарабей Экспедиции веризиевой пыли, Escarabajo de expedición de polvo de verisium, สคารับกองสำรวจ แห่งผงเวริเซียม
Expedition Scarab of the Skald, Scarabée d'Expédition du Scalde, Expedition-Skarabäus des Skalden, 吟唱詩人のエクスペディションスカラベ, Escaravelho da Expedição do Skald, Скарабей Экспедиции скальда, Escarabajo de expedición de escaldo, สคารับกองสำรวจ แห่งกวี
Expedition Scarab, Scarabée d'Expédition, Expedition-Skarabäus, エクスペディションスカラベ, Escaravelho da Expedição, Скарабей Экспедиции, Escarabajo de expedición, สคารับกองสำรวจ
Faceted Fossil, Fossile à facettes, Facettenreiches Fossil, 面の刻まれた化石, Fóssil Facetado, Гранёное ископаемое, Fósil facetado, Faceted Fossil
Facetor's Lens, Lentille de ciseleur, Linse des Facettenschleifers, 宝石加工のレンズ, Lente Armazenadora, Линза награнения, Lente del facetador, Facetor's Lens
Feral Incubator, Incubateur sauvage, Wilder Inkubator, 野生のインキュベーター, Incubador Feroz, Дикий инкубатор, Incubadora feral, ตัวบ่มฟักดุร้าย
Fertile Catalyst, Catalyseur fertile, Fruchtbarer Katalysator, 肥沃のカタリスト, Catalisador Fértil, Насыщенный катализатор, Catalizador fértil, Fertile Catalyst
Fine Delirium Orb, Orbe raffiné de Délire, Edle Sphäre des Deliriums, 上質なデリリウムオーブ, Orbe Delirante Refinado, Прекрасная сфера Делириума, Orbe de delirio elegante, ลูกแก้วเดลิเรียมประณีต
Fine Incubator, Incubateur raffiné, Feiner Inkubator, 上質なインキュベーター, Incubador Fino, Прекрасный инкубатор, Incubadora elegante, ตัวบ่มฟักประณีต
Foreboding Delirium Orb, Orbe sinistre de Délire, Unheilverkündende Sphäre des Deliriums, 凶兆のデリリウムオーブ, Orbe Delirante Auspicioso, Таинственная сфера Делириума, Orbe de delirio premonitorio, ลูกแก้วเดลิเรียมอันเป็นลาง
Foreboding Incubator, Incubateur sinistre, Unheilverkündender Inkubator, 凶兆のインキュベーター, Incubador Agourento, Таинственный инкубатор, Incubadora premonitoria, ตัวบ่มฟักอันเป็นลาง
Forgotten Reliquary Key, Clé du Reliquaire oubliée, Schlüssel zur Vergessenen Reliquienkammer, 忘れ去られた聖廟の鍵, Chave do Relicário Esquecido, Ключ от Забытого Реликвария, Llave del Relicario olvidado, กุญแจคลังวัตถุโบราณที่ถูกลืม
Fossilised Delirium Orb, Orbe fossilisé de Délire, Versteinerte Sphäre des Deliriums, 化石のデリリウムオーブ, Orbe Delirante Fossilizada, Ископаемая сфера Делириума, Orbe de delirio fosilizado, ลูกแก้วเดลิเรียมฟอสซิล
Fossilised Incubator, Incubateur fossilisé, Versteinerter Inkubator, 化石のインキュベーター, Incubador Fossilizado, Ископаемый инкубатор, Incubadora fosilizada, ตัวบ่มฟักฟอสซิล
Fractured Fossil, Fossile fissuré, Zerbrochenes Fossil, 粉砕された化石, Fóssil Talhado, Треснувшее ископаемое, Fósil fracturado, Fractured Fossil
Fracturing Orb, Orbe fissurant, Brüchige Sphäre, フラクチャーオーブ, Orbe Talhador, Раскалывающая сфера, Orbe fracturante, Fracturing Orb
Fracturing Shard, Éclat fissurant, Brüchige Scherbe, フラクチャーの欠片, Lasca Talhadora, Раскалывающий осколок, Esquirla fracturante, ชิ้นส่วน Fracturing
Fragment of Constriction, Fragment de la Constriction, Fragment der Unterdrückung, 抑圧の断片, Fragmento do Constritor, Фрагмент угнетения, Fragmento de constricción, ชิ้นส่วนบีบรัด
Fragment of Emptiness, Fragment du Vide, Fragment der Leere, 空虚の断片, Fragmento do Vazio, Фрагмент пустоты, Fragmento de vacío, ชิ้นส่วนว่างเปล่า
Fragment of Enslavement, Fragment de l'Asservissement, Fragment der Versklavung, 隷属の断片, Fragmento do Escravisador, Фрагмент порабощения, Fragmento de esclavitud, ชิ้นส่วนกดขี่
Fragment of Eradication, Fragment de l'Éradication, Fragment der Vernichtung, 撲滅の断片, Fragmento do Erradicador, Фрагмент искоренения, Fragmento de erradicación, ชิ้นส่วนขจัด
Fragment of Knowledge, Fragment de la Connaissance, Fragment des Wissens, 知識の断片, Fragmento do Conhecimento, Фрагмент знания, Fragmento de conocimiento, ชิ้นส่วนปัญญา
Fragment of Purification, Fragment de la Purification, Fragment der Läuterung, 浄化の断片, Fragmento do Purificador, Фрагмент искупления, Fragmento de purificación, ชิ้นส่วนชำระล้าง
Fragment of Shape, Fragment du Façonnement, Fragment der Schöpfung, 具現の断片, Fragmento de Forma, Фрагмент формы, Fragmento de forma, ชิ้นส่วนรูปร่าง
Fragment of Terror, Fragment de la Terreur, Fragment des Schreckens, 恐怖の断片, Fragmento do Terror, Фрагмент ужаса, Fragmento de terror, ชิ้นส่วนสยองขวัญ
Fragment of the Chimera, Fragment de la Chimère, Fragment der Chimäre, キメラの断片, Fragmento da Quimera, Фрагмент Химеры, Fragmento de la quimera, ชิ้นส่วนไคมีรา
Fragment of the Hydra, Fragment de l'Hydre, Fragment der Hydra, ヒュドラの断片, Fragmento da Hidra, Фрагмент Гидры, Fragmento de la hidra, ชิ้นส่วนไฮดร้า
Fragment of the Minotaur, Fragment du Minotaure, Fragment des Minotauren, ミノタウロスの断片, Fragmento do Minotauro, Фрагмент Минотавра, Fragmento del minotauro, ชิ้นส่วนมิโนทอร์
Fragment of the Phoenix, Fragment du Phénix, Fragment des Phönix, フェニックスの断片, Fragmento da Fênix, Фрагмент Феникса, Fragmento del fénix, ชิ้นส่วนฟีนิกซ์
Fragmented Delirium Orb, Orbe fragmenté de Délire, Fragmentierte Sphäre des Deliriums, 断片化したデリリウムオーブ, Orbe Delirante Fragmentado, Раздробленная сфера Делириума, Orbe de delirio fragmentado, ลูกแก้วเดลิเรียมแยกส่วน
Fragmented Incubator, Incubateur fragmenté, Fragmentierter Inkubator, 断片化したインキュベーター, Incubador Fragmentado, Раздробленный инкубатор, Incubadora fragmentada, ตัวบ่มฟักแยกส่วน
Frigid Fossil, Fossile glacé, Eisiges Fossil, 極寒の化石, Fóssil Frígido, Ледяное ископаемое, Fósil helado, Frigid Fossil
Fundamental Fossil, Fossile fondamental, Fundamentales Fossil, 基本的な化石, Fóssil Fundamental, Фундаментальное ископаемое, Fósil fundamental, Fundamental Fossil
Gemcutter's Prism, Prisme de lapidaire, Prisma des Gemmenschneiders, 宝石細工師のプリズム, Prisma do Lapidário, Призма камнереза, Prisma del tallador de gemas, Gemcutter's Prism
Geomancer's Incubator, Incubateur du géomancien, Inkubator des Geomanten, 風水師のインキュベーター, Incubador do Geomante, Инкубатор геоманта, Incubadora del geomántico, ตัวบ่มฟักนักทำนายโลกา
Gift to the Goddess, Présent à la déesse, Geschenk an die Göttin, 女神への贈与, Presente à Deusa, Дар богине, Regalo a la Diosa, ของขวัญแด่เทพี
Gilded Fossil, Fossile doré, Vergoldetes Fossil, 金色の化石, Fóssil Dourado, Позолоченное ископаемое, Fósil dorado, Gilded Fossil
Glassblower's Bauble, Bulle de souffleur de verre, Kugel des Glasbläsers, ガラス吹きの飾り玉, Bolha do Vidreiro, Стекольная масса, Baratija de vidrio, Glassblower's Bauble
Glyphic Fossil, Fossile glyphique, Glyphisches Fossil, 浮き彫りの化石, Fóssil Glífico, Резное ископаемое, Fósil glífico, Glyphic Fossil
Golden Oil, Huile dorée, Goldenes Öl, 金色のオイル, Óleo Dourado, Золотое масло, Aceite dorado, Golden Oil
Grand Eldritch Ember, Braise surnaturelle majestueuse, Große übernatürliche Glut, エルドリッチエンバー（特大）, Brasa Ancestral Distinta, Великий древний уголёк, Brasa sobrenatural grandiosa, เถ้าถ่านผิดธรรมชาติชั้นเลิศ
Grand Eldritch Ichor, Ichor surnaturel majestueux, Großer übernatürlicher Ichor, エルドリッチイコル（特大）, Fluido Ancestral Distinto, Великий зловещий ихор, Icor sobrenatural grandioso, น้ำหนองผิดธรรมชาติชั้นเลิศ
Greater Eldritch Ember, Braise surnaturelle majeure, Größere übernatürliche Glut, エルドリッチエンバー（大）, Brasa Ancestral Maior, Крупный древний уголёк, Brasa sobrenatural mayor, เถ้าถ่านผิดธรรมชาติชั้นสูง
Greater Eldritch Ichor, Ichor surnaturel majeur, Größerer übernatürlicher Ichor, エルドリッチイコル（大）, Fluido Ancestral Maior, Крупный зловещий ихор, Icor sobrenatural mayor, น้ำหนองผิดธรรมชาติชั้นสูง
Harbinger Scarab of Obelisks, Scarabée de Précurseur des Obélisques, Vorboten-Skarabäus der Obelisken, オベリスクのハービンジャースカラベ, Escaravelho do Emissário dos Obeliscos, Скарабей Предвестника обелисков, Escarabajo de heraldo de obeliscos, สคารับฮาร์บินเจอร์ แห่งแท่งศิลา
Harbinger Scarab of Regency, Scarabée de Précurseur de la Régence, Vorboten-Skarabäus der Herrschaft, 摂政のハービンジャースカラベ, Escaravelho do Emissário da Regência, Скарабей Предвестника регентства, Escarabajo de heraldo de regencia, สคารับฮาร์บินเจอร์ แห่งอุปราช
Harbinger Scarab of Warhoards, Scarabée de Précurseur des Trésors de guerre, Vorboten-Skarabäus der Kriegsbeute, ウォーホードのハービンジャースカラベ, Escaravelho do Emissário dos Espólios de Guerra, Скарабей Предвестника военных запасов, Escarabajo de heraldo de reservas de guerra, สคารับฮาร์บินเจอร์ แห่งคลังสงคราม
Harbinger Scarab, Scarabée de Précurseur, Vorboten-Skarabäus, ハービンジャースカラベ, Escaravelho do Emissário, Скарабей Предвестника, Escarabajo de heraldo, สคารับฮาร์บินเจอร์
Harbinger's Orb, Orbe de Précurseur, Sphäre des Vorboten, ハービンジャーのオーブ, Orbe do Emissário, Сфера Предвестника, Orbe del heraldo, Harbinger's Orb
Harbinger's Shard, Éclat de Précurseur, Scherbe des Vorboten, ハービンジャーの欠片, Lasca do Emissário, Осколок Предвестника, Esquirla del heraldo, ชิ้นส่วน Harbinger
Harvest Scarab of Cornucopia, Scarabée du Bosquet de la Corne d'abondance, Hain-Skarabäus der Fülle, 豊饒のハーベストスカラベ, Escaravelho da Colheita da Cornucópia, Скарабей Жатвы изобилия, Escarabajo de cosecha de cornucopia, สคารับฮาร์เวสต์ แห่งความอุดมสมบูรณ์
Harvest Scarab of Doubling, Scarabée du Bosquet du Doublement, Hain-Skarabäus der Verdopplung, 倍増のハーベストスカラベ, Escaravelho da Colheita da Duplicação, Скарабей Жатвы удвоения, Escarabajo de cosecha de duplicación, สคารับฮาร์เวสต์ แห่งสองเท่า
Harvest Scarab, Scarabée du Bosquet, Hain-Skarabäus, ハーベストスカラベ, Escaravelho da Colheita, Скарабей Жатвы, Escarabajo de cosecha, สคารับฮาร์เวสต์
Hinekora's Lock, Mèche de cheveux d'Hinekora, Hinekoras Locke, ヒネコラの髪の束, Cacho de Hinekora, Прядь Хинекоры, Mechón de Hinekora, ปอยผมของฮิเนโครา
Hollow Fossil, Fossile creux, Hohles Fossil, 中空の化石, Fóssil Côncavo, Пустое ископаемое, Fósil hueco, Hollow Fossil
Horizon Shard, Éclat d'horizon, Scherbe der Horizonte, 地平の欠片, Lasca do Horizonte, Осколок горизонтов, Esquirla de horizonte, ชิ้นส่วน Horizon
Horned Scarab of Awakening, Scarabée cornu de l'Éveil, Gehörnter Skarabäus der Erweckung, 覚醒の有角のスカラベ, Escaravelho Chifrudo do Despertar, Рогатый скарабей пробуждения, Escarabajo cornudo de despertar, สคารับมีเขา แห่งการจุติ
Horned Scarab of Bloodlines, Scarabée cornu des Lignées, Gehörnter Skarabäus der Blutlinien, 血統の有角のスカラベ, Escaravelho Chifrudo das Linhagens, Рогатый скарабей Родословных, Escarabajo cornudo de líneas de sangre, สคารับมีเขา แห่งสายเลือด
Horned Scarab of Glittering, Scarabée cornu du Scintillement, Gehörnter Skarabäus des Glitzerns, 煌煌の有角のスカラベ, Escaravelho Chifrudo do Brilho, Рогатый скарабей переливов, Escarabajo cornudo de brillos, สคารับมีเขา แห่งความแวววาว
Horned Scarab of Nemeses, Scarabée cornu des Némésis, Gehörnter Skarabäus der Erzfeinde, 宿敵の有角のスカラベ, Escaravelho Chifrudo do Nêmesis, Рогатый скарабей Немезиды, Escarabajo cornudo de némesis, สคารับมีเขา แห่งเนเมซิส
Horned Scarab of Pandemonium, Scarabée cornu du Pandémonium, Gehörnter Skarabäus des Pandämoniums, 地獄の有角のスカラベ, Escaravelho Chifrudo do Pandemônio, Рогатый скарабей Пандемониума, Escarabajo cornudo de pandemonio, สคารับมีเขา แห่งความโกลาหล
Horned Scarab of Preservation, Scarabée cornu de la Préservation, Gehörnter Skarabäus der Bewahrung, 保存の有角のスカラベ, Escaravelho Chifrudo da Preservação, Рогатый скарабей сохранения, Escarabajo cornudo de preservación, สคารับมีเขา แห่งการอนุรักษ์
Horned Scarab of Tradition, Scarabée cornu de la Tradition, Gehörnter Skarabäus der Tradition, 伝統の有角のスカラベ, Escaravelho Chifrudo da Tradição, Рогатый скарабей традиций, Escarabajo cornudo de tradición, สคารับมีเขา แห่งประเพณี
Hunter's Exalted Orb, Orbe exalté du Chasseur, Erhabene Sphäre des Jägers, ハンターの高貴なオーブ, Orbe Exaltado do Caçador, Сфера возвышения охотника, Orbe exaltado del Cazador, Hunter's Exalted Orb
Imbued Catalyst, Catalyseur imprégné, Durchdrungener Katalysator, 教示のカタリスト, Catalisador Imbuído, Волшебный катализатор, Catalizador imbuido, Imbued Catalyst
Incandescent Invitation, Invitation incandescente, Glühende Einladung, 白熱する招待状, Convite Incandescente, Сияющее приглашение, Invitación incandescente, คำเชิญโชติช่วง
Incursion Scarab of Champions, Scarabée d'Incursion des Champions, Inkursion-Skarabäus der Streiter, 王者のインカージョンスカラベ, Escaravelho da Incursão dos Campeões, Скарабей Вмешательства чемпионов, Escarabajo de incursión de campeones, สคารับย้อนเวลา แห่งวีรชน
Incursion Scarab of Invasion, Scarabée d'Incursion de l'Invasion, Inkursion-Skarabäus der Invasion, 侵入のインカージョンスカラベ, Escaravelho da Incursão da Invasão, Скарабей Вмешательства вторжения, Escarabajo de incursión de invasión, สคารับย้อนเวลา แห่งการรุกราน
Incursion Scarab of Timelines, Scarabée d'Incursion de la Chronologie, Inkursion-Skarabäus der Zeitlinien, 年表のインカージョンスカラベ, Escaravelho da Incursão das Linhas Temporais, Скарабей Вмешательства хроник, Escarabajo de incursión de líneas de tiempo, สคารับย้อนเวลา แห่งเส้นเวลา
Incursion Scarab, Scarabée d'Incursion, Inkursion-Skarabäus, インカージョンスカラベ, Escaravelho da Incursão, Скарабей Вмешательства, Escarabajo de incursión, สคารับย้อนเวลา
Indigo Oil, Huile indigo, Indigofarbenes Öl, 藍色のオイル, Óleo Índigo, Масло индиго, Aceite índigo, Indigo Oil
Influencing Scarab of Conversion, Scarabée d'Influence de la Conversion, Beeinflussender Skarabäus der Umwandlung, 転向のインフルエンススカラベ, Escaravelho da Influência da Conversão, Влиятельный скарабей превращения, Escarabajo de influencia de conversión, สคารับอิทธิพล แห่งการแปลง
Influencing Scarab of Hordes, Scarabée d'Influence des Hordes, Beeinflussender Skarabäus der Horden, 多勢のインフルエンススカラベ, Escaravelho da Influência das Hordas, Влиятельный скарабей орд, Escarabajo de influencia de hordas, สคารับอิทธิพล แห่งโขยง
Influencing Scarab of the Elder, Scarabée d'Influence de l'Ancien, Beeinflussender Skarabäus des Ältesten, エルダーのインフルエンススカラベ, Escaravelho da Influência do Ancião, Влиятельный скарабей Древнего, Escarabajo de influencia del antiguo, สคารับอิทธิพล แห่งเอลเดอร์
Influencing Scarab of the Shaper, Scarabée d'Influence du Façonneur, Beeinflussender Skarabäus des Schöpfers, シェイパーのインフルエンススカラベ, Escaravelho da Influência do Criador, Влиятельный скарабей Создателя, Escarabajo de influencia del creador, สคารับอิทธิพล แห่งเชปเปอร์
Infused Engineer's Orb, Orbe d'ingénieur infusé, Verstärkte Sphäre des Ingenieurs, 強化された技師のオーブ, Orbe Infundido do Engenheiro, Заряженная сфера инженера, Orbe del ingeniero infundido, Infused Engineer's Orb
Instilling Orb, Orbe d'instillation, Sphäre der Einflößung, 注入のオーブ, Orbe Instigante, Вливающая сфера, Orbe de instilación, Instilling Orb
Intrinsic Catalyst, Catalyseur intrinsèque, Intrinsischer Katalysator, 本質のカタリスト, Catalisador Intrínseco, Истинный катализатор, Catalizador intrínseco, Intrinsic Catalyst
Jagged Fossil, Fossile tranchant, Gezacktes Fossil, ギザギザの化石, Fóssil Dentado, Шероховатое ископаемое, Fósil dentado, Jagged Fossil
Jeweller's Delirium Orb, Orbe orné de Délire, Verzierte Sphäre des Deliriums, 宝飾職人のデリリウムオーブ, Orbe Delirante do Joalheiro, Ювелирная сфера Делириума, Orbe de delirio del joyero, ลูกแก้วเดลิเรียมช่างอัญมณี
Jeweller's Orb, Orbe de joaillier, Sphäre des Goldschmieds, 宝飾職人のオーブ, Orbe do Joalheiro, Сфера златокузнеца, Orbe de joyero, Jeweller's Orb
Journey Rune, Rune du Voyage, Reiserune, 旅のルーン, Runa Viajante, Руна Странствия, Runa de viaje, อักขระสัญจร
Journey Tattoo of the Body, Tatouage initiatique du Corps, Reisetätowierung des Körpers, 肉体の旅のタトゥー, Tatuagem da Jornada do Corpo, Татуировка странствия тела, Tatuaje de viaje del cuerpo, ลายสักสัญจร ร่างกาย
Kalguuran Delirium Orb, Orbe kalguurien de Délire, Kalguurische Sphäre des Deliriums, カルグールのデリリウムオーブ, Orbe Delirante Kalguuran, Калгууранская сфера Делириума, Orbe de delirio kalguur, ลูกแก้วเดลิเรียมคาลเกอร์
